Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F876A -DL -O11111114 -fo20 -N"D:\Milinda\Robofest\Final_Code-7\final_code_7.mcppi" -SP"E:\Program Files\mikroC PRO for PIC\defs\" -SP"E:\Program Files\mikroC PRO for PIC\Uses\P16\" -SP"D:\Milinda\Robofest\Final_Code-7\" "final_code_7.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_C.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
hint: 0	1138	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 47 ms	 
diagnostics: 0	122	Compilation Started	final_code_7.c
warning: 95	1503	Result is not defined in function: 'forward'	final_code_7.c
warning: 104	1503	Result is not defined in function: 'backward'	final_code_7.c
warning: 113	1503	Result is not defined in function: 'leftHardTurn'	final_code_7.c
warning: 120	1503	Result is not defined in function: 'leftHardT'	final_code_7.c
warning: 129	1503	Result is not defined in function: 'RightHardTurn'	final_code_7.c
warning: 138	1503	Result is not defined in function: 'leftTurn'	final_code_7.c
warning: 147	1503	Result is not defined in function: 'RightTurn'	final_code_7.c
warning: 157	1503	Result is not defined in function: 'leftSoftTurn'	final_code_7.c
warning: 166	1503	Result is not defined in function: 'rightSoftTurn'	final_code_7.c
warning: 173	1503	Result is not defined in function: 'stopAll'	final_code_7.c
warning: 183	1503	Result is not defined in function: 'leftT'	final_code_7.c
warning: 194	1503	Result is not defined in function: 'rightT'	final_code_7.c
warning: 202	1503	Result is not defined in function: 'leftT2'	final_code_7.c
warning: 211	1503	Result is not defined in function: 'rightT2'	final_code_7.c
hint: 214	1161	Variable 'i' has been declared, but not used	final_code_7.c
warning: 332	1503	Result is not defined in function: 'sensorRead'	final_code_7.c
hint: 346	1161	Variable 'val' has been declared, but not used	final_code_7.c
warning: 528	1503	Result is not defined in function: 'lineFollow'	final_code_7.c
error: 951	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 958	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1055	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1055	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1055	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1110	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1110	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1111	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1111	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1115	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1122	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1122	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1126	324	Undeclared identifier 'PORTD' in expression	final_code_7.c
error: 1139	312	Internal error ''	final_code_7.c
error: 0	102	Finished (with errors): 13 Sep 2012, 05:40:13	final_code_7.mcppi
