Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F887 -DL -O11111114 -fo20 -N"D:\Milinda\Robofest\Final_Code_2\Final_code_2.mcppi" -SP"E:\Program Files\mikroC PRO for PIC\defs\" -SP"E:\Program Files\mikroC PRO for PIC\Uses\P16\" -SP"D:\Milinda\Robofest\Final_Code_2\" "Final_code_2.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
hint: 0	1138	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 47 ms	 
diagnostics: 0	122	Compilation Started	Final_code_2.c
warning: 64	1503	Result is not defined in function: 'forward'	Final_code_2.c
warning: 73	1503	Result is not defined in function: 'backward'	Final_code_2.c
warning: 82	1503	Result is not defined in function: 'leftHardTurn'	Final_code_2.c
warning: 91	1503	Result is not defined in function: 'RightHardTurn'	Final_code_2.c
warning: 100	1503	Result is not defined in function: 'leftTurn'	Final_code_2.c
warning: 109	1503	Result is not defined in function: 'RightTurn'	Final_code_2.c
warning: 119	1503	Result is not defined in function: 'leftSoftTurn'	Final_code_2.c
warning: 128	1503	Result is not defined in function: 'rightSoftTurn'	Final_code_2.c
warning: 135	1503	Result is not defined in function: 'stopAll'	Final_code_2.c
warning: 145	1503	Result is not defined in function: 'leftT'	Final_code_2.c
warning: 155	1503	Result is not defined in function: 'leftHardT'	Final_code_2.c
warning: 168	1503	Result is not defined in function: 'rightT'	Final_code_2.c
warning: 179	1503	Result is not defined in function: 'rightHardT'	Final_code_2.c
hint: 182	1161	Variable 'i' has been declared, but not used	Final_code_2.c
warning: 300	1503	Result is not defined in function: 'sensorRead'	Final_code_2.c
hint: 304	1161	Variable 'val' has been declared, but not used	Final_code_2.c
warning: 469	1503	Result is not defined in function: 'lineFollow'	Final_code_2.c
hint: 1119	1161	Variable 'dif1' has been declared, but not used	Final_code_2.c
hint: 1119	1161	Variable 'dif2' has been declared, but not used	Final_code_2.c
warning: 1638	1503	Result is not defined in function: 'search_arrow'	Final_code_2.c
diagnostics: 1707	123	Compiled Successfully	Final_code_2.c
hint: 305	1162	Variable 'decimal_value' has been eliminated by optimizer	Final_code_2.c
diagnostics: 0	127	All files Compiled in 1841 ms	 
hint: 0	1143	Used RAM (bytes): 103 (29%)  Free RAM (bytes): 249 (71%)	Used RAM (bytes): 103 (29%)  Free RAM (bytes): 249 (71%)
hint: 0	1143	Used ROM (program words): 2224 (27%)  Free ROM (program words): 5968 (73%)	Used ROM (program words): 2224 (27%)  Free ROM (program words): 5968 (73%)
diagnostics: 0	125	Project Linked Successfully	Final_code_2.mcppi
diagnostics: 0	128	Linked in 1279 ms	 
diagnostics: 0	129	Project 'Final_code_2.mcppi' completed: 3760 ms	 
diagnostics: 0	103	Finished successfully: 13 Sep 2012, 05:32:21	Final_code_2.mcppi
